iter	MAPE	RMSE	R2	MAE
0	0.955363696	2014390.233	-0.6135635848	1283163.878
1	0.9152934363	1965167.015	-0.5356696524	1244985.166
2	0.872898325	1917204.158	-0.4616237608	1207937.28
3	0.835284416	1871319.424	-0.3924984517	1172034.079
4	0.8003413989	1827440.684	-0.3279613909	1137340.941
5	0.7697603693	1784512.367	-0.266304044	1103898.066
6	0.7400995195	1743329.259	-0.2085307591	1071933.73
7	0.7155786544	1703003.841	-0.1532676901	1040941.347
8	0.6931134544	1664085.394	-0.1011591389	1010653.963
9	0.6723298497	1625938.389	-0.05125249659	981464.6593
10	0.6516133326	1589467.331	-0.004620606611	953034.6685
11	0.6337207909	1554066.423	0.03963123959	925814.0199
12	0.6144439501	1520310.275	0.08089880427	899133.9263
13	0.5978822438	1486813.754	0.1209531743	873446.7248
14	0.5844482266	1454194.597	0.1591008305	849395.2308
15	0.5680869196	1422726.139	0.1951008081	825161.1469
16	0.5537179035	1392818.024	0.2285858045	801862.7393
17	0.5412462394	1362892.125	0.261378689	779504.0535
18	0.5297845844	1333707.867	0.2926729028	758055.4926
19	0.5211749874	1306101.244	0.321651989	738305.8176
20	0.5133229836	1279098.732	0.3494105646	719151.0992
21	0.5050503738	1253314.31	0.3753757132	700310.2361
22	0.4976744184	1228293.016	0.4000668848	682285.2465
23	0.4894372038	1204123.952	0.423444313	664505.1145
24	0.4807225429	1181427.467	0.4449744233	647039.9069
25	0.4758855298	1158301.18	0.4664908556	631365.5173
26	0.4720569651	1136920.399	0.4860048897	616269.6084
27	0.4696485315	1116312.052	0.5044698346	602460.1386
28	0.4629830481	1095322.926	0.5229287717	587200.392
29	0.4590297421	1075223.994	0.5402764367	573423.7188
30	0.4556526568	1056168.662	0.5564266722	560425.8225
31	0.4506230778	1037615.862	0.5718735355	547183.4597
32	0.4484745227	1020036.761	0.5862571354	535412.3407
33	0.4455213725	1002615.469	0.6002691458	523611.6714
34	0.4435314047	986173.4289	0.6132721366	512412.4529
35	0.4407762677	969457.9287	0.6262709958	501382.8691
36	0.4385405438	953835.5111	0.6382189256	490989.2586
37	0.4377636057	938722.8738	0.6495922759	481369.1038
38	0.4333388777	923993.4361	0.6605024519	470983.679
39	0.4301954207	909686.2091	0.6709346975	461317.845
40	0.426929056	895976.3454	0.6807786293	452189.5579
41	0.4231306494	882806.3894	0.6900941278	442893.9049
42	0.4211938399	869785.5955	0.6991685119	434396.096
43	0.4180794669	856948.2228	0.7079830673	425821.6226
44	0.4188827324	844432.0216	0.7164509102	418954.3996
45	0.4171862298	832846.2873	0.7241782065	411457.2334
46	0.4142200054	821004.0232	0.7319662759	404024.9439
47	0.4125424221	809784.3643	0.7392419985	397297.587
48	0.4123798422	799115.777	0.7460675049	391038.1498
49	0.4127933281	788795.3664	0.7525841195	385207.2452
50	0.4103656445	778458.3174	0.7590263275	378912.2586
51	0.4062833962	768960.0412	0.764870882	372545.765
52	0.4073679969	759756.1859	0.7704658232	367668.0016
53	0.4067328036	750834.036	0.7758252095	362391.2138
54	0.4062240774	741687.5765	0.7812536179	357400.4278
55	0.4044327267	733140.4657	0.7862661779	352436.1204
56	0.4026610265	724828.5463	0.7910850843	347579.1652
57	0.4030082232	716690.7193	0.7957498278	343455.9137
58	0.4034091065	708886.8622	0.800173664	339411.0348
59	0.40286353	701037.187	0.8045746124	335468.7353
60	0.4026498114	693615.5086	0.8086905338	331680.4142
61	0.4011214278	686841.7575	0.8124088907	327438.1273
62	0.4001129588	679962.8821	0.8161476091	323568.8937
63	0.3985424975	673266.2379	0.8197511332	319655.6797
64	0.3987500753	666738.5999	0.8232293872	316542.5612
65	0.3973681623	660565.2512	0.8264876794	313283.8238
66	0.3962006232	654609.3105	0.8296024972	310031.3033
67	0.3949773088	648686.7357	0.8326718902	306898.7258
68	0.3958385533	642764.0572	0.8357134397	304603.8621
69	0.3957446688	637138.1341	0.8385767568	301801.2129
70	0.3953940779	631620.4751	0.8413605228	298965.2555
71	0.3937912831	626785.1342	0.8437801397	296093.0267
72	0.3936298204	621518.6238	0.8463943595	293815.0297
73	0.392303863	616898.0486	0.8486697802	291242.4659
74	0.39018052	611351.6975	0.8513786798	288690.086
75	0.3884909357	606524.958	0.8537162036	285906.7767
76	0.3900911493	601769.1818	0.8560012391	284492.0208
77	0.3897927511	597280.0911	0.8581416358	282644.0291
78	0.3896694827	592975.1917	0.8601791563	280938.7158
79	0.3877190976	588185.3246	0.8624288907	278918.9665
80	0.3853751364	584167.8661	0.8643017655	276802.4183
81	0.3849939896	579780.0109	0.8663326475	275056.359
82	0.383164409	576166.3294	0.8679937117	273056.7931
83	0.3820848655	572040.7045	0.869877399	271377.8485
84	0.3836023996	568374.3947	0.8715400113	270509.0375
85	0.3835363333	564889.8033	0.8731103087	269189.6971
86	0.3808210205	561385.6391	0.874679688	267422.482
87	0.377667318	557710.5436	0.8763151292	265554.9036
88	0.3776471618	554440.3829	0.8777613403	264278.8085
89	0.37679667	550916.0891	0.8793104184	262744.0867
90	0.3739142373	547781.1388	0.880680062	261169.1734
91	0.3722444064	544741.4428	0.882000626	259903.4127
92	0.3714194726	541606.1497	0.8833550224	258532.8094
93	0.3721358722	538616.9886	0.8846390125	257658.5832
94	0.3713890039	535856.3193	0.8858185423	256536.9554
95	0.3716969986	533191.871	0.8869512124	255896.2675
96	0.3699653554	530256.8727	0.8881923596	254787.8925
97	0.3693646499	527829.3939	0.8892137115	253799.7843
98	0.3694298224	524825.2475	0.8904712053	252920.6138
99	0.3665646618	522795.2268	0.89131688	251690.9025
100	0.3651142158	520558.7991	0.8922447463	250672.8877
101	0.3641618833	518254.7749	0.8931964977	249902.7526
102	0.3650436366	515807.5574	0.8942027761	249362.9124
103	0.364658437	513278.8452	0.8952375611	248594.047
104	0.3642843942	510866.1812	0.8962201168	247858.4889
105	0.364979342	508559.346	0.8971552446	247309.471
106	0.3637064614	506311.0347	0.8980625758	246507.1104
107	0.3612096688	504271.2868	0.898882261	245652.8736
108	0.3603812327	502316.4609	0.8996647146	244837.2692
109	0.358785633	500625.9985	0.9003389016	244010.1908
110	0.3594276443	498639.3514	0.9011283076	243660.8347
111	0.3579007756	496606.4961	0.9019328256	242997.5857
112	0.3571088071	494551.138	0.9027429078	242287.3821
113	0.357563883	492601.8999	0.9035080607	241931.5506
114	0.3578512753	490792.0649	0.9042157871	241525.8775
115	0.3574586365	489092.6381	0.9048779675	241129.0009
116	0.3562677567	487761.8476	0.9053949055	240487.1666
117	0.356242815	485640.8767	0.9062158733	239938.843
118	0.3564793111	484265.4775	0.9067463391	239719.11
119	0.355872313	482533.4868	0.9074121956	239160.2472
120	0.3560666006	481064.3362	0.9079751341	238924.3378
121	0.355084886	479225.856	0.9086771717	238349.9912
122	0.3549523303	477884.1502	0.9091878154	237984.7722
123	0.3552130208	476703.2173	0.9096360855	237881.2156
124	0.3554597471	475890.7373	0.9099438506	237775.7163
125	0.35640658	475179.8282	0.9102127103	237786.9164
126	0.3572991066	474432.4017	0.9104949471	237795.8359
127	0.3578371966	473414.8805	0.9108784606	237725.8042
128	0.3572906782	471760.0376	0.9115004283	237211.6727
129	0.3550082224	470391.9737	0.9120129665	236544.3293
130	0.3525457771	469120.7912	0.9124878745	235825.99
131	0.3525725196	467286.0918	0.9131710439	235381.1285
