iter	Passed	Remaining
0	124	1488945
1	217	1307038
2	316	1265868
3	424	1273644
4	521	1251763
5	614	1227401
6	706	1211121
7	799	1198681
8	897	1195158
9	994	1192474
10	1092	1190526
11	1185	1184503
12	1285	1185189
13	1379	1181156
14	1469	1174424
15	1569	1175526
16	1664	1173024
17	1757	1170108
18	1850	1166730
19	1976	1183845
20	2077	1184840
21	2169	1181049
22	2260	1176916
23	2352	1174058
24	2447	1172282
25	2543	1171337
26	2635	1168630
27	2729	1166869
28	2823	1165530
29	2929	1168878
30	3026	1168599
31	3127	1169574
32	3229	1171256
33	3344	1177115
34	3511	1200465
35	3692	1227244
36	3882	1255434
37	4085	1285982
38	4272	1310470
39	4439	1327264
40	4624	1348913
41	4828	1374622
42	5017	1395078
43	5206	1414674
44	5403	1435472
45	5590	1452729
46	5775	1468842
47	5973	1487314
48	6160	1502638
49	6351	1517945
50	6538	1532021
51	6707	1541175
52	6905	1556534
53	7097	1570037
54	7280	1581250
55	7468	1592944
56	7675	1608119
57	7863	1619038
58	8051	1629484
59	8247	1641188
60	8430	1650029
61	8619	1659675
62	8809	1669238
63	8993	1677340
64	9158	1681593
65	9346	1690063
66	9523	1696117
67	9709	1703778
68	9875	1707588
69	10061	1714792
70	10261	1724053
71	10446	1730561
72	10632	1737230
73	10823	1744262
74	11009	1750450
75	11208	1758595
76	11397	1764778
77	11589	1771392
78	11770	1776117
79	11950	1780595
80	12145	1787175
81	12313	1789597
82	12484	1792487
83	12678	1798481
84	12877	1805149
85	13073	1811171
86	13276	1817926
87	13480	1824752
88	13668	1829270
89	13832	1830544
90	14019	1834665
91	14187	1836344
92	14370	1839879
93	14560	1844226
94	14744	1847704
95	14928	1851098
96	15122	1855647
97	15304	1858755
98	15500	1863354
99	15689	1867086
100	15886	1871562
101	16078	1875537
102	16261	1878281
103	16451	1881811
104	16633	1884370
105	16821	1887453
106	16951	1884197
107	17140	1887313
108	17295	1886834
109	17467	1888113
110	17652	1890709
111	17836	1893200
112	18029	1896646
113	18242	1902070
114	18409	1902537
115	18605	1906128
116	18786	1908021
117	18961	1909282
118	19145	1911539
119	19319	1912647
120	19476	1912125
121	19616	1909902
122	19802	1912136
123	19987	1914279
124	20145	1913855
125	20318	1914743
126	20503	1916812
127	20698	1919751
128	20839	1917728
129	21023	1919621
130	21214	1922118
131	21420	1925925
132	21618	1928937
133	21799	1930401
134	21984	1932152
135	22172	1934266
136	22357	1935969
137	22542	1937643
138	22720	1938768
139	22903	1940246
140	23088	1941887
141	23228	1939785
142	23418	1941788
143	23600	1943085
144	23794	1945404
145	23989	1947718
146	24146	1946956
147	24309	1946701
148	24506	1949164
149	24702	1951527
150	24885	1952796
151	25080	1954974
152	25279	1957463
153	25466	1958922
154	25652	1960322
155	25837	1961681
156	26019	1962702
157	26216	1964929
158	26383	1964827
159	26583	1967177
160	26725	1965240
161	26905	1966091
162	27088	1967167
163	27261	1967468
164	27455	1969281
165	27642	1970641
166	27846	1973120
167	28031	1974222
168	28221	1975654
169	28399	1976270
170	28592	1977878
171	28776	1978897
172	28960	1979889
173	29159	1981858
174	29353	1983481
175	29537	1984377
176	29707	1984353
177	29909	1986462
178	30084	1986726
179	30278	1988280
180	30467	1989487
181	30673	1991738
182	30888	1994569
183	31101	1997226
184	31299	1998951
185	31482	1999622
186	31659	1999947
187	31853	2001321
188	32053	2003094
